dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.00043976036093027214,0.0003117389186556259,0.0012053925979933497,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00046059220411451035,0.0003117389186556259,0.001262019418774373,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00048241087041653687,0.00037018996590355575,0.0013213287029043834,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0005052631065335679,0.000409157330735509,0.0013834475210809643,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0005291978735958442,0.00044812469556746224,0.00144850896345475,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0005542664520663107,0.0004870920603994155,0.0015166524247763188,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0005805225516094895,0.000565026790063322,0.0015880239030507536,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0006080224261649427,0.0005845104724792986,0.0016627763123397451,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0006368249944718586,0.0005845104724792986,0.001741069810381385,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0006669919663030121,0.0006039941548952752,0.0018230721417296456,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0006985879746785249,0.0006234778373112518,0.001908958997148642,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0007316807143427193,0.0006429615197272284,0.0019989143900317474,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0007663410868007462,0.0007014125669751583,0.002093131050652024,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0008026433522257174,0.000720896249391135,0.0021918108390886204,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0008406652885618325,0.000720896249391135,0.0022951651777139087,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0008804883581643465,0.0007988309790550414,0.0024034155041678822,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0009221978823334322,0.0008377983438869947,0.002516793745790381,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0009658832241158709,0.0008377983438869947,0.002635542816527607,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.001011637979766207,0.0008377983438869947,0.0027599171373774998,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.001059560179277616,0.0009352167559668777,0.0028901831814891516,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0011097524964120721,0.0009547004383828544,0.003026620045083997,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0011623224686798518,0.0009936678032148075,0.0031695200454220987,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.001217382727739662,0.001071602532878714,0.0033191893470946284,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0012750512407130128,0.0012079883097905503,0.0034759486179843425,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0013354515629298987,0.0012859230394544569,0.0036401337162995746,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0013987131026472386,0.0013054067218704335,0.0038120964101535596,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0014649713983072847,0.0013054067218704335,0.003992205131230929,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0015343684089300133,0.0013443740867023868,0.004180845764156072,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0016070528182616384,0.001480759863614223,0.0043784224732545075,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0016831803533309566,0.0015781782756941062,0.004585358568478814,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.001762914118095948,0.001636629322942036,0.004802097412354118,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0018464249428955426,0.0016755966877739894,0.0050291033698864835,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0019338917504552321,0.0017730150998538723,0.005266862803469312,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0020255019392306666,0.0019094008767657088,0.005515885114919278,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00212145178491063,0.0019288845591816854,0.005776703836874572,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.002221946860939524,0.002006819288845592,0.006049877775893524,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0023272024789604074,0.002143205065757428,0.006335992209702918,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.002437444150122222,0.0022990745250852413,0.006635660141161036,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0025529080682395165,0.002454943984413054,0.006949523611621961,1024,51325,51175
