dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U2,8,0.9,10,0,32,100.0,49.908871342539484,0.017100000000000004,-0.06344444444444444,0.07520321428571428
cifar100,m9_contractive,U2,8,0.9,10,1,32,100.0,49.908871342539484,0.015500000000000003,-0.07722222222222222,0.07560722222222221
cifar100,m9_contractive,U2,8,0.9,10,2,32,100.0,49.908871342539484,0.0249,-0.06655555555555555,0.08038785714285715
cifar100,m9_contractive,U2,8,0.7,10,0,32,100.0,49.908871342539484,0.017099999999999997,-0.08455555555555555,0.07366710317460318
cifar100,m9_contractive,U2,8,0.7,10,1,32,100.0,49.908871342539484,0.0221,-0.09866666666666665,0.07931789682539682
cifar100,m9_contractive,U2,8,0.7,10,2,32,100.0,49.908871342539484,0.0221,-0.10300000000000001,0.08342920634920635
cifar100,m9_contractive,U2,inf,1.0,10,0,768,0.1,36.69876064533212,0.8812,-0.044888888888888895,0.9208316269841271
cifar100,m9_contractive,U2,inf,1.0,10,1,768,0.1,36.69876064533212,0.8791,-0.04633333333333334,0.9177636904761904
cifar100,m9_contractive,U2,inf,1.0,10,2,768,0.1,36.69876064533212,0.8809000000000001,-0.05100000000000001,0.9175310317460319
cifar100,m9_contractive,U2,inf,0.9,10,0,768,0.1,36.69876064533212,0.8705999999999999,-0.07866666666666663,0.9181389682539681
cifar100,m9_contractive,U2,inf,0.9,10,1,768,0.1,36.69876064533212,0.867,-0.07711111111111109,0.9143858730158729
cifar100,m9_contractive,U2,inf,0.9,10,2,768,0.1,36.69876064533212,0.86,-0.0901111111111111,0.9106940079365078
cifar100,m9_contractive,U2,inf,0.7,10,0,768,0.1,36.69876064533212,0.7241000000000002,-0.2634444444444444,0.8725015873015873
cifar100,m9_contractive,U2,inf,0.7,10,1,768,0.1,36.69876064533212,0.7208,-0.26022222222222224,0.8728966666666667
cifar100,m9_contractive,U2,inf,0.7,10,2,768,0.1,36.69876064533212,0.7293999999999999,-0.2524444444444444,0.8675313888888889
cifar100,m0_fedavg,n/a,inf,n/a,10,0,n/a,n/a,n/a,0.30970000000000003,-0.6911111111111112,0.44663460317460324
cifar100,m8_analytic,n/a,inf,n/a,10,0,n/a,n/a,n/a,0.8833,-0.045555555555555544,0.9216036904761905
cifar100,m0_fedavg,n/a,inf,n/a,10,1,n/a,n/a,n/a,0.32489999999999997,-0.6877777777777777,0.5019903571428571
cifar100,m8_analytic,n/a,inf,n/a,10,1,n/a,n/a,n/a,0.8833,-0.04455555555555556,0.919852380952381
cifar100,m0_fedavg,n/a,inf,n/a,10,2,n/a,n/a,n/a,0.363,-0.6322222222222222,0.49271722222222214
cifar100,m8_analytic,n/a,inf,n/a,10,2,n/a,n/a,n/a,0.8833,-0.04911111111111113,0.918800515873016
cifar100,m9_contractive,U2,1.0,1.0,50,0,32,0.01,49.908871342539484,0.014000000000000002,-0.03388888888888889,0.0443265873015873
cifar100,m9_contractive,U2,1.0,1.0,50,1,32,0.01,49.908871342539484,0.0127,-0.036555555555555556,0.043004325396825395
cifar100,m9_contractive,U2,1.0,1.0,50,2,32,0.01,49.908871342539484,0.021300000000000003,-0.04022222222222222,0.06006956349206348
cifar100,m9_contractive,U2,4.0,1.0,50,0,32,10.0,49.908871342539484,0.0204,-0.07500000000000001,0.08725003968253967
cifar100,m9_contractive,U2,4.0,1.0,50,1,32,10.0,49.908871342539484,0.0174,-0.07777777777777778,0.07985281746031746
cifar100,m9_contractive,U2,4.0,1.0,50,2,32,10.0,49.908871342539484,0.0199,-0.0801111111111111,0.10039063492063491
cifar100,m9_contractive,U2,8.0,1.0,50,0,32,100.0,49.908871342539484,0.046299999999999994,-0.17855555555555555,0.2110845634920635
cifar100,m9_contractive,U2,8.0,1.0,50,1,32,100.0,49.908871342539484,0.039799999999999995,-0.16988888888888887,0.18871817460317458
cifar100,m9_contractive,U2,8.0,1.0,50,2,32,100.0,49.908871342539484,0.040100000000000004,-0.17800000000000002,0.2115423015873016
cifar100,m9_contractive,U2,1.0,1.0,100,0,32,0.01,49.908871342539484,0.0149,-0.033,0.04507698412698413
cifar100,m9_contractive,U2,1.0,1.0,100,1,32,0.01,49.908871342539484,0.0127,-0.04033333333333334,0.04617230158730159
cifar100,m9_contractive,U2,1.0,1.0,100,2,32,0.01,49.908871342539484,0.021700000000000004,-0.046,0.06385285714285714
cifar100,m9_contractive,U2,4.0,1.0,100,0,32,10.0,49.908871342539484,0.0205,-0.08755555555555555,0.09543436507936506
cifar100,m9_contractive,U2,4.0,1.0,100,1,32,10.0,49.908871342539484,0.0137,-0.08855555555555555,0.08580980158730159
cifar100,m9_contractive,U2,4.0,1.0,100,2,32,10.0,49.908871342539484,0.0201,-0.08655555555555555,0.10741301587301588
cifar100,m9_contractive,U2,8.0,1.0,100,0,32,100.0,49.908871342539484,0.052000000000000005,-0.2026666666666667,0.23604992063492064
cifar100,m9_contractive,U2,8.0,1.0,100,1,32,100.0,49.908871342539484,0.0486,-0.1866666666666667,0.21595130952380953
cifar100,m9_contractive,U2,8.0,1.0,100,2,32,100.0,49.908871342539484,0.042600000000000006,-0.20377777777777778,0.23726849206349213
